lon,lat,FuelClass,class_id
172.592552,-43.644244,cleared_pine,6
172.588510,-43.610018,cleared_pine,6
172.594169,-43.609210,cleared_pine,6
172.591474,-43.644244,cleared_pine,6
172.632707,-43.602472,cleared_pine,6
172.591743,-43.644513,cleared_pine,6
172.632976,-43.602203,cleared_pine,6
172.617345,-43.643974,cleared_pine,6
172.611147,-43.645861,cleared_pine,6
172.589318,-43.644244,cleared_pine,6
172.608452,-43.645322,cleared_pine,6
172.590666,-43.644513,cleared_pine,6
172.591474,-43.643974,cleared_pine,6
172.603332,-43.620528,cleared_pine,6
172.589857,-43.609210,cleared_pine,6
172.632437,-43.600316,cleared_pine,6
172.612225,-43.647478,cleared_pine,6
172.609800,-43.645052,cleared_pine,6
172.630281,-43.594387,cleared_pine,6
172.596864,-43.639123,cleared_pine,6
172.614112,-43.644783,cleared_pine,6
172.597942,-43.607054,cleared_pine,6
172.612225,-43.646939,cleared_pine,6
172.617884,-43.645052,cleared_pine,6
172.596055,-43.607593,cleared_pine,6
172.592282,-43.609210,cleared_pine,6
172.593899,-43.642357,cleared_pine,6
172.589318,-43.609210,cleared_pine,6
172.590127,-43.642896,cleared_pine,6
172.620310,-43.644244,cleared_pine,6
172.595247,-43.607593,cleared_pine,6
172.593630,-43.607593,cleared_pine,6
172.610069,-43.646939,cleared_pine,6
172.632437,-43.600855,cleared_pine,6
172.609261,-43.646669,cleared_pine,6
172.590666,-43.609210,cleared_pine,6
172.592013,-43.644513,cleared_pine,6
172.631898,-43.593579,cleared_pine,6
172.586084,-43.642088,cleared_pine,6
172.630551,-43.594657,cleared_pine,6
