lon,lat,FuelClass,class_id,split,block_id
172.620031,-43.617742,pasture,1,valid,300005
172.626619,-43.622167,pasture,1,train,500003
172.625911,-43.624106,pasture,1,valid,500002
172.618206,-43.618506,pasture,1,train,300004
172.620725,-43.621241,pasture,1,train,400003
172.607988,-43.611319,pasture,1,train,7
172.629539,-43.622062,pasture,1,train,600003
172.633345,-43.629894,pasture,1,valid,700000
172.617582,-43.619924,pasture,1,train,300004
172.619517,-43.619641,pasture,1,train,300004
172.623978,-43.622258,pasture,1,train,500003
172.625953,-43.625745,pasture,1,valid,500002
172.611778,-43.616164,pasture,1,train,100005
172.618609,-43.623535,pasture,1,train,300002
172.618472,-43.622600,pasture,1,valid,300003
172.620159,-43.621267,pasture,1,train,400003
172.618618,-43.621223,pasture,1,valid,300003
172.627004,-43.622938,pasture,1,train,500003
172.628503,-43.620544,pasture,1,train,600004
172.638289,-43.610650,pasture,1,train,800007
172.607305,-43.612734,pasture,1,train,6
172.608337,-43.612227,pasture,1,train,7
172.624505,-43.621542,pasture,1,train,500003
172.625398,-43.623421,pasture,1,valid,500002
172.607169,-43.611083,pasture,1,train,7
172.623810,-43.620786,pasture,1,train,400003
172.612928,-43.616341,pasture,1,valid,200005
172.619559,-43.620762,pasture,1,valid,300003
172.628518,-43.627518,pasture,1,train,600001
172.625717,-43.622336,pasture,1,train,500003
172.626980,-43.610855,pasture,1,train,500007
172.634031,-43.608549,pasture,1,train,700008
172.625466,-43.625508,pasture,1,valid,500002
172.629173,-43.621169,pasture,1,train,600003
172.623045,-43.620592,pasture,1,train,400004
172.607149,-43.611417,pasture,1,train,7
172.624375,-43.622671,pasture,1,train,500003
172.617875,-43.619464,pasture,1,train,300004
172.617375,-43.623737,pasture,1,train,300002
172.615452,-43.619767,pasture,1,train,200004
172.616002,-43.617391,pasture,1,valid,200005
172.619064,-43.620955,pasture,1,valid,300003
172.626076,-43.620993,pasture,1,train,500003
172.621371,-43.622242,pasture,1,train,400003
172.615941,-43.624175,pasture,1,valid,200002
172.612420,-43.616870,pasture,1,train,100005
172.621824,-43.618880,pasture,1,train,400004
172.625669,-43.622437,pasture,1,train,500003
172.627122,-43.623686,pasture,1,valid,500002
172.617970,-43.622839,pasture,1,valid,300003
172.616255,-43.604779,gorse_broom,2,train,200009
172.624697,-43.609957,gorse_broom,2,train,500007
172.612072,-43.620310,gorse_broom,2,train,100004
172.612205,-43.606741,gorse_broom,2,valid,100009
172.618310,-43.613573,gorse_broom,2,valid,300006
172.616963,-43.602195,gorse_broom,2,train,300010
172.625963,-43.609664,gorse_broom,2,train,500008
172.611352,-43.623814,gorse_broom,2,valid,100002
172.618204,-43.606270,gorse_broom,2,valid,300009
172.616760,-43.606080,gorse_broom,2,valid,300009
