OID,FuelClass,class_id,split,dem_lidar,dsm_lidar,chm
1,pasture,1,train,0.0,0.0,0.0
2,pasture,1,valid,79.849998,80.055,0.20500200000000746
3,pasture,1,train,0.0,0.0,0.0
4,pasture,1,train,0.0,0.0,0.0
6,pasture,1,train,32.34,32.474998,0.13499799999999595
9,pasture,1,valid,205.99001,206.35201,0.36199999999999477
10,pasture,1,valid,0.0,0.0,0.0
11,pasture,1,train,160.31,160.38699,0.076989999999995
13,pasture,1,valid,0.0,0.0,0.0
16,pasture,1,train,170.96001,171.10001,0.13999999999998636
17,pasture,1,train,190.78,190.814,0.033999999999991815
18,pasture,1,train,0.0,0.0,0.0
19,pasture,1,train,38.57,39.523998,0.9539979999999986
20,pasture,1,train,108.2,108.525,0.32500000000000284
23,pasture,1,train,168.74001,168.80901,0.0689999999999884
25,pasture,1,train,0.0,0.0,0.0
26,pasture,1,valid,58.880001,61.105,2.224998999999997
27,pasture,1,train,273.12,273.27802,0.1580200000000218
29,pasture,1,train,0.0,0.0,0.0
30,pasture,1,train,188.00999,188.19,0.18001000000001
31,pasture,1,valid,198.05,198.15401,0.10400999999998817
32,pasture,1,valid,198.23,198.343,0.11299999999999955
33,pasture,1,train,426.35001,426.423,0.07299000000000433
34,pasture,1,valid,307.07999,307.10599,0.02600000000001046
38,pasture,1,train,400.98999,401.289,0.29901000000000977
39,pasture,1,train,0.0,0.0,0.0
40,pasture,1,train,427.26001,427.29901,0.03899999999998727
41,pasture,1,train,355.01001,355.33401,0.32399999999995543
44,pasture,1,valid,191.71001,191.80901,0.09899999999998954
45,pasture,1,valid,57.790001,57.991001,0.2010000000000005
46,pasture,1,train,0.0,0.0,0.0
47,pasture,1,valid,161.87,162.158,0.2879999999999825
48,pasture,1,valid,0.0,0.0,0.0
49,pasture,1,train,96.330002,96.569,0.23899800000000937
50,pasture,1,train,164.48,164.55499,0.07499000000001388
52,gorse_broom,2,train,307.41,307.48499,0.07498999999995704
53,gorse_broom,2,train,0.0,0.0,0.0
54,gorse_broom,2,train,432.62,435.806,3.1859999999999786
55,gorse_broom,2,train,264.35999,264.54999,0.18999999999999773
57,gorse_broom,2,train,326.32001,327.70801,1.3879999999999768
58,gorse_broom,2,train,252.45,253.53999,1.0899900000000002
60,gorse_broom,2,train,0.0,0.0,0.0
61,gorse_broom,2,valid,0.0,0.0,0.0
62,gorse_broom,2,train,342.91,348.12399,5.213989999999967
63,gorse_broom,2,train,225.63,225.922,0.2920000000000016
64,gorse_broom,2,train,0.0,0.0,0.0
65,gorse_broom,2,train,185.69,185.83,0.14000000000001478
66,gorse_broom,2,train,160.19,160.49899,0.3089899999999943
67,gorse_broom,2,train,0.0,0.0,0.0
68,gorse_broom,2,train,0.0,0.0,0.0
70,gorse_broom,2,valid,372.60999,374.31,1.7000100000000202
72,gorse_broom,2,valid,354.75,356.33401,1.584009999999978
73,gorse_broom,2,valid,142.78,143.625,0.8449999999999989
74,gorse_broom,2,train,0.0,0.0,0.0
75,gorse_broom,2,valid,0.0,0.0,0.0
76,gorse_broom,2,train,0.0,0.0,0.0
82,gorse_broom,2,train,252.58,253.382,0.8019999999999925
83,gorse_broom,2,train,385.89999,386.082,0.18200999999999112
85,gorse_broom,2,valid,304.35999,306.38,2.0200100000000134
86,gorse_broom,2,valid,0.0,0.0,0.0
87,gorse_broom,2,valid,56.549999,58.493,1.9430010000000024
88,gorse_broom,2,train,273.67001,274.04501,0.375
89,gorse_broom,2,train,0.0,0.0,0.0
90,gorse_broom,2,train,181.22,181.729,0.5090000000000146
91,gorse_broom,2,train,381.06,382.54501,1.4850099999999884
92,gorse_broom,2,train,0.0,0.0,0.0
94,gorse_broom,2,train,414.97,415.44299,0.4729899999999816
95,gorse_broom,2,valid,0.0,0.0,0.0
98,gorse_broom,2,train,148.14,148.25101,0.11101000000002159
99,gorse_broom,2,train,162.03,162.14799,0.11798999999999182
100,gorse_broom,2,train,272.38,272.67801,0.29800999999997657
101,exotic_pine,3,train,291.26999,292.26199,0.9920000000000186
102,exotic_pine,3,valid,0.0,0.0,0.0
103,exotic_pine,3,train,207.55,208.082,0.5319999999999823
105,exotic_pine,3,train,354.60001,354.98001,0.37999999999999545
107,exotic_pine,3,valid,171.69,171.99899,0.3089899999999943
108,exotic_pine,3,valid,139.97,140.72701,0.7570100000000082
109,exotic_pine,3,valid,364.45999,364.88599,0.4259999999999877
110,exotic_pine,3,train,32.82,61.695,28.875
111,exotic_pine,3,train,0.0,0.0,0.0
